CLUSTER_TR2000,school_present_2000,school_present_2001,school_present_2002,school_present_2003,school_present_2004,school_present_2005,school_present_2006,school_present_2007,school_present_2008,school_present_2009,school_present_2010,school_present_2011,school_present_2012,school_present_2013,dcps_present_2000,dcps_present_2001,dcps_present_2002,dcps_present_2003,dcps_present_2004,dcps_present_2005,dcps_present_2006,dcps_present_2007,dcps_present_2008,dcps_present_2009,dcps_present_2010,dcps_present_2011,dcps_present_2012,dcps_present_2013,charter_present_2000,charter_present_2001,charter_present_2002,charter_present_2003,charter_present_2004,charter_present_2005,charter_present_2006,charter_present_2007,charter_present_2008,charter_present_2009,charter_present_2010,charter_present_2011,charter_present_2012,charter_present_2013,aud_2001,aud_2002,aud_2003,aud_2004,aud_2005,aud_2006,aud_2007,aud_2008,aud_2009,aud_2010,aud_2011,aud_2012,aud_2013,aud_dcps_2001,aud_dcps_2002,aud_dcps_2003,aud_dcps_2004,aud_dcps_2005,aud_dcps_2006,aud_dcps_2007,aud_dcps_2008,aud_dcps_2009,aud_dcps_2010,aud_dcps_2011,aud_dcps_2012,aud_dcps_2013,aud_charter_2001,aud_charter_2002,aud_charter_2003,aud_charter_2004,aud_charter_2005,aud_charter_2006,aud_charter_2007,aud_charter_2008,aud_charter_2009,aud_charter_2010,aud_charter_2011,aud_charter_2012,aud_charter_2013
Cluster 11,5,5,5,5,4,4,5,5,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3471,3373,3362,3219,3215,3133,3063,2956,3279,3465,3751,4049,4197,3471,3373,3362,3219,3215,3133,3063,2956,3279,3465,3751,4049,4197,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,449,462,468,508,533,562,596,612,639,676,661,668,425,449,462,468,508,533,562,596,612,639,676,661,668,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 14,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,225,228,213,425,312,410,566,501,285,324,347,368,381,225,228,213,212,211,232,259,296,285,324,347,368,381,0,0,0,213,101,178,307,205,0,0,0,0,0
Cluster 15,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935,967,957,964,966,993,891,924,954,1035,1069,1066,1093,935,967,957,964,966,993,891,924,954,1035,1069,1066,1093,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,354,351,327,324,327,312,355,331,352,331,314,304,356,354,351,327,324,327,312,355,331,352,331,314,304,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 17,7,8,7,7,7,7,8,9,9,10,8,7,10,11,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,5,4,4,4,4,5,6,6,6,5,4,7,8,2759,2645,2675,2644,2644,2742,2712,2757,3039,2778,2478,3321,3741,1788,1734,1589,1463,1432,1385,1341,1335,1439,1405,1199,1195,1237,971,911,1086,1181,1212,1357,1371,1422,1600,1373,1279,2126,2504
Cluster 18,15,15,17,18,17,19,18,20,20,19,20,21,21,19,13,13,14,14,14,14,13,13,11,11,11,11,11,10,2,2,3,4,3,5,5,7,9,8,9,10,10,9,6115,6132,6158,5438,4964,4714,4858,5114,5387,6065,6491,6987,7374,5528,5572,5273,4923,4262,3997,3862,3701,3771,4210,4282,4627,4855,587,560,885,515,702,717,996,1413,1616,1855,2209,2360,2519
Cluster 19,5,5,6,5,6,6,5,7,7,5,4,4,5,6,4,4,4,4,4,3,3,3,2,2,2,2,2,2,1,1,2,1,2,3,2,4,5,3,2,2,3,4,1076,1476,1020,1311,1109,1099,1337,1531,1241,1067,1144,1495,1656,1039,1050,981,812,620,574,506,444,404,383,399,384,404,37,426,39,499,489,525,831,1087,837,684,745,1111,1252
Cluster 20,2,2,2,2,2,3,3,3,5,5,5,6,4,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,1,1,1,4,4,4,5,3,2,765,773,629,536,596,598,625,1149,1242,945,1570,1171,1020,765,773,629,536,515,500,515,386,359,0,304,274,249,0,0,0,0,81,98,110,763,883,945,1266,897,771
Cluster 21,10,10,9,8,11,12,14,15,13,12,12,10,9,13,7,7,7,7,8,8,8,8,5,5,5,4,4,6,3,3,2,1,3,4,6,7,8,7,7,6,5,7,3143,3064,2996,3560,3794,4371,4887,4711,4641,4426,3500,3658,3957,2413,2427,2299,2516,2535,2643,2671,2207,1951,1871,1638,1618,1784,730,637,697,1044,1259,1728,2216,2504,2690,2555,1862,2040,2173
Cluster 22,2,2,2,1,3,2,3,4,4,3,3,3,3,3,2,2,2,1,3,2,3,3,2,2,2,2,2,2,0,0,0,0,0,0,0,1,2,1,1,1,1,1,744,733,395,646,499,756,751,854,980,972,972,1014,1042,744,733,395,646,499,756,691,672,715,689,645,648,669,0,0,0,0,0,0,60,182,265,283,327,366,373
Cluster 23,9,10,10,9,10,10,10,10,9,9,9,8,8,7,9,10,10,9,9,10,10,10,8,8,8,7,7,4,0,0,0,0,1,0,0,0,1,1,1,1,1,3,2970,2852,2482,2417,2355,2166,1990,2060,2288,2291,2105,1996,1729,2970,2852,2482,2195,2355,2166,1990,1841,2090,2063,1890,1766,1199,0,0,0,222,0,0,0,219,198,228,215,230,530
Cluster 24,6,6,8,9,9,9,9,8,7,6,6,7,7,7,5,5,6,6,6,6,6,5,3,3,3,3,3,2,1,1,2,3,3,3,3,3,4,3,3,4,4,5,1545,2212,2260,2409,2491,2349,2330,2223,2025,2069,2945,2886,2592,1151,1509,1415,1418,1250,1068,986,900,849,888,861,791,627,394,703,845,991,1241,1281,1344,1323,1176,1181,2084,2095,1965
Cluster 25,17,17,16,15,15,15,15,15,15,13,14,17,17,16,13,12,12,10,11,11,11,12,12,10,11,11,11,10,4,5,4,5,4,4,4,3,3,3,3,6,6,6,5689,5132,5549,5161,4765,4648,5064,4313,3571,3911,4669,5105,5489,4244,4081,3772,3808,3381,3259,3698,3268,2647,2774,3000,3282,3710,1445,1051,1777,1353,1384,1389,1366,1045,924,1137,1669,1823,1779
Cluster 26,5,5,5,7,7,8,9,8,7,7,7,7,7,7,5,5,5,7,7,8,8,7,5,5,5,5,5,5,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2045,2001,1974,1885,1841,1876,1772,1725,1812,1951,2022,2129,2182,2045,2001,1974,1885,1841,1650,1547,1279,1385,1510,1566,1649,1695,0,0,0,0,0,226,225,446,427,441,456,480,487
Cluster 27,3,4,4,5,5,6,5,4,3,4,5,4,4,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,3,3,4,4,5,5,4,3,4,5,4,4,4,1501,1546,1683,1686,1789,1985,1812,1487,1611,1781,1767,1496,1576,273,249,176,150,76,0,0,0,0,0,0,0,0,1228,1297,1507,1536,1713,1985,1812,1487,1611,1781,1767,1496,1576
Cluster 28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,413,413,406,352,328,310,282,259,255,256,260,306,411,413,413,406,352,328,310,282,259,255,256,260,306,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 29,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,379,380,336,298,263,249,198,185,178,178,147,0,388,379,380,336,298,263,249,198,185,178,178,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 30,3,3,3,3,4,5,5,5,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,3,3,3,2,2,2,2,2,2,1391,1574,1714,1803,2289,2526,2610,2460,2410,2400,2261,2343,2296,691,642,626,610,546,530,473,466,466,456,477,594,704,700,932,1088,1193,1743,1996,2137,1994,1944,1944,1784,1749,1592
