GEO2010,school_present_2000,school_present_2001,school_present_2002,school_present_2003,school_present_2004,school_present_2005,school_present_2006,school_present_2007,school_present_2008,school_present_2009,school_present_2010,school_present_2011,school_present_2012,school_present_2013,dcps_present_2000,dcps_present_2001,dcps_present_2002,dcps_present_2003,dcps_present_2004,dcps_present_2005,dcps_present_2006,dcps_present_2007,dcps_present_2008,dcps_present_2009,dcps_present_2010,dcps_present_2011,dcps_present_2012,dcps_present_2013,charter_present_2000,charter_present_2001,charter_present_2002,charter_present_2003,charter_present_2004,charter_present_2005,charter_present_2006,charter_present_2007,charter_present_2008,charter_present_2009,charter_present_2010,charter_present_2011,charter_present_2012,charter_present_2013,aud_2001,aud_2002,aud_2003,aud_2004,aud_2005,aud_2006,aud_2007,aud_2008,aud_2009,aud_2010,aud_2011,aud_2012,aud_2013,aud_dcps_2001,aud_dcps_2002,aud_dcps_2003,aud_dcps_2004,aud_dcps_2005,aud_dcps_2006,aud_dcps_2007,aud_dcps_2008,aud_dcps_2009,aud_dcps_2010,aud_dcps_2011,aud_dcps_2012,aud_dcps_2013,aud_charter_2001,aud_charter_2002,aud_charter_2003,aud_charter_2004,aud_charter_2005,aud_charter_2006,aud_charter_2007,aud_charter_2008,aud_charter_2009,aud_charter_2010,aud_charter_2011,aud_charter_2012,aud_charter_2013
Tract 66,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,676,652,558,532,379,268,0,0,0,0,0,0,650,676,652,558,532,379,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 68.01,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,221,202,216,222,230,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,202,216,222,230,237
Tract 68.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 68.04,0,0,0,2,2,2,3,3,2,2,2,2,2,2,0,0,0,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,63,56,265,253,265,282,288,294,299,276,0,0,0,63,56,39,28,40,57,63,60,49,26,0,0,0,0,0,226,225,225,225,225,234,250,250
Tract 69,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,741,794,779,780,764,757,754,751,773,757,772,803,766,741,794,779,780,764,757,754,751,773,757,772,803,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 70,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,290,273,258,253,255,259,237,300,348,402,470,507,333,290,273,258,253,255,259,237,300,348,402,470,507,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 71,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,836,838,836,744,1125,1234,1192,1156,1170,1167,1157,1169,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,836,838,836,744,1125,1234,1192,1156,1170,1167,1157,1169,1111
Tract 72,2,3,3,4,4,4,3,2,1,2,3,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,2,1,2,3,2,2,2,665,708,847,942,664,751,620,331,441,614,610,327,465,273,249,176,150,76,0,0,0,0,0,0,0,0,392,459,671,792,588,751,620,331,441,614,610,327,465
Tract 73.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 73.04,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1495,1406,1327,1070,970,646,556,568,477,237,566,860,1207,1495,1406,1327,1070,970,646,556,568,477,237,566,220,225,0,0,0,0,0,0,0,0,0,0,0,640,982
Tract 74.01,2,2,3,3,4,6,5,5,5,6,5,6,6,5,2,2,2,2,3,4,3,3,3,2,1,1,1,1,0,0,1,1,1,2,2,2,2,4,4,5,5,4,940,1441,1468,1401,1674,1631,1500,1435,1698,1747,2013,2062,1913,940,907,871,810,785,710,523,428,411,367,344,387,408,0,534,597,591,889,921,977,1007,1287,1380,1669,1675,1505
Tract 74.03,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,160,86,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,86,172
Tract 74.04,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048,1141,1132,1056,953,787,500,288,277,255,252,583,674,1048,1141,1132,1056,953,787,500,288,277,255,252,583,674,0,0,0,0,0,0,0,0,0,0,0,0,0
