GEO2010,PctPoorPersons_1980,PctPoorPersons_1990,PctPoorPersons_2000,PctPoorPersons_2010_14,PctPoorChildren_1990,PctPoorChildren_2000,PctPoorChildren_2010_14,PctPoorElderly_1990,PctPoorElderly_2000,PctPoorElderly_2010_14,PctUnemployed_1980,PctUnemployed_1990,PctUnemployed_2000,PctUnemployed_2010_14,Pct16andOverEmployed_1980,Pct16andOverEmployed_1990,Pct16andOverEmployed_2000,Pct16andOverEmployed_2010_14,Pct25andOverWoutHS_1980,Pct25andOverWoutHS_1990,Pct25andOverWoutHS_2000,Pct25andOverWoutHS_2010_14,PctHshldPhone_2000,PctHshldPhone_2010_14,PctHshldCar_2000,PctHshldCar_2010_14,AvgFamilyIncAdj_1980,AvgFamilyIncAdj_1990,AvgFamilyIncAdj_2000,AvgFamilyIncAdj_2010_14,PctChgAvgFamilyIncAdj_1980_1990,PctChgAvgFamilyIncAdj_1990_2000,PctChgAvgFamilyIncA_2000_2010_14,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012,fs_client_2013,fs_client_2014,fs_client_2015,tanf_client_2000,tanf_client_2001,tanf_client_2002,tanf_client_2003,tanf_client_2004,tanf_client_2005,tanf_client_2006,tanf_client_2007,tanf_client_2008,tanf_client_2009,tanf_client_2010,tanf_client_2011,tanf_client_2012,tanf_client_2013,tanf_client_2014,tanf_client_2015,Rate_crimes_pt1_violent_2000,Rate_crimes_pt1_violent_2001,Rate_crimes_pt1_violent_2002,Rate_crimes_pt1_violent_2003,Rate_crimes_pt1_violent_2004,Rate_crimes_pt1_violent_2005,Rate_crimes_pt1_violent_2006,Rate_crimes_pt1_violent_2007,Rate_crimes_pt1_violent_2008,Rate_crimes_pt1_violent_2009,Rate_crimes_pt1_violent_2010,Rate_crimes_pt1_violent_2011,Rate_crimes_pt1_violent_2012,Rate_crimes_pt1_violent_2013,Rate_crimes_pt1_violent_2014,Rate_crimes_pt1_violent_2015,Rate_crimes_pt1_property_2000,Rate_crimes_pt1_property_2001,Rate_crimes_pt1_property_2002,Rate_crimes_pt1_property_2003,Rate_crimes_pt1_property_2004,Rate_crimes_pt1_property_2005,Rate_crimes_pt1_property_2006,Rate_crimes_pt1_property_2007,Rate_crimes_pt1_property_2008,Rate_crimes_pt1_property_2009,Rate_crimes_pt1_property_2010,Rate_crimes_pt1_property_2011,Rate_crimes_pt1_property_2012,Rate_crimes_pt1_property_2013,Rate_crimes_pt1_property_2014,Rate_crimes_pt1_property_2015
Tract 92.04,s,s,29,40,s,47,48,36,19,28,s,s,14,27,s,s,44,45,s,s,31,22,98,98,42,42,s,s,46879,40234,s,s,-14,373,369,392,451,516,538,517,533,516,591,652,766,793,782,727,733,210,196,225,216,238,252,247,227,229,224,232,243,245,228,210,206,12,20,16,17,17,24,26,12,8.7,13,11,9.8,17,9.8,14,14,56,50,61,51,51,60,34,32,34,29,23,34,40,39,62,42
Tract 93.01,s,s,14,12,s,12,6,7.4,11,15,s,s,12,17,s,s,53,59,s,s,17,5.2,99,98,90,86,s,s,92274,110499,s,s,20,161,193,206,224,248,277,322,299,276,341,404,476,539,532,472,489,82,109,123,97,120,151,165,141,100,118,114,131,149,147,109,108,16,15,16,16,13,20,17,20,18,12,9.9,11,12,12,9.9,13,75,87,66,63,57,56,55,43,36,46,59,58,51,55,70,74
Tract 93.02,s,s,12,2.5,s,22,0,22,5.6,0,s,s,14,13,s,s,55,62,s,s,30,20,95,96,61,83,s,s,74415,90690,s,s,22,103,91,138,182,174,212,186,169,188,237,253,280,273,287,267,253,69,63,89,101,90,97,90,64,62,86,98,84,71,65,69,48,17,21,27,24,21,28,18,21,39,32,24,21,27,32,17,34,80,66,65,64,68,55,65,104,106,92,124,46,159,183,208,177
Tract 94,s,s,7.9,15,s,7,1.7,8.6,11,14,s,s,10,29,s,s,51,44,s,s,21,9.4,99,98,81,77,s,s,101843,91561,s,s,-10,271,245,268,327,334,376,382,340,382,498,573,734,728,681,619,649,149,171,187,180,163,171,156,150,150,164,184,227,210,160,131,150,11,10,9.6,11,9.8,11,15,5.8,8.9,6.7,5.8,8.4,7.2,7.4,8.6,9.6,46,61,50,55,52,36,37,30,35,34,30,42,52,58,62,59
Tract 95.01,s,s,16,28,s,9.7,36,12,10,10,s,s,32,8.5,s,s,47,48,s,s,20,21,98,97,65,69,s,s,69043,49592,s,s,-28,338,315,344,447,513,565,491,538,629,711,883,1090,1166,1199,1152,1341,183,198,214,265,270,247,203,229,247,281,292,323,289,280,270,275,6.6,8.7,4.7,16,6,8.3,11,7.1,4.2,7.5,4.8,3.8,4.5,3.5,5.3,5.7,23,43,42,39,43,33,27,26,25,23,23,12,21,21,24,19
Tract 95.03,s,s,7,17,s,6.3,16,7.6,6.9,12,s,s,6.8,11,s,s,51,50,s,s,8.9,4.8,99,100,91,86,s,s,103363,82386,s,s,-20,102,92,99,109,130,142,147,168,181,223,295,383,374,370,366,376,77,64,59,55,51,60,63,56,66,63,107,145,125,142,137,118,4.2,5.9,7.6,2.3,4.7,4.4,8.7,8.1,3.1,5.5,6.5,2.7,6.2,6.2,6.5,5.8,32,28,30,31,29,42,28,19,25,22,27,31,41,32,42,41
Tract 95.04,s,s,13,11,s,11,1.9,9.8,17,6.4,s,s,14,18,s,s,51,48,s,s,22,14,99,100,79,79,s,s,79193,90596,s,s,14,157,157,151,186,224,236,244,255,287,348,384,465,502,469,448,452,103,107,103,108,111,126,120,114,134,134,139,141,144,118,116,119,12,12,8.4,9.4,8.9,18,14,14,11,9.1,8.6,11,11,9.6,7.6,6.6,35,46,39,43,34,38,40,38,39,41,38,45,48,49,65,54
Tract 95.05,s,s,6.6,12,s,6.8,0,10,11,13,s,s,7.5,14,s,s,49,50,s,s,17,16,99,100,86,71,s,s,88602,85467,s,s,-3.5,185,169,178,198,243,251,270,234,303,375,396,517,548,528,497,495,112,102,113,114,141,153,133,103,128,134,131,143,154,128,130,127,6.9,11,12,15,13,10,13,16,13,15,11,8.7,7.2,6.5,9.9,10,34,46,48,43,40,38,29,40,32,31,41,44,40,31,51,60
Tract 95.07,s,s,13,8.3,s,25,12,10,6.8,12,s,s,6.2,18,s,s,48,49,s,s,18,9.1,100,99,79,87,s,s,72886,76896,s,s,5.5,104,100,112,103,127,119,115,125,149,190,246,302,306,318,280,294,54,55,72,69,77,59,58,65,68,80,80,87,94,99,88,76,6.4,3.8,3.9,8.4,7.8,10,3.9,4,9.3,4,1.3,5.4,4,5.4,6,8.1,20,22,26,23,25,15,12,19,17,17,18,18,20,17,17,18
Tract 95.08,s,s,5.7,11,s,2.7,10,3.5,9.6,19,s,s,7.9,12,s,s,53,59,s,s,15,6.4,98,98,81,76,s,s,82998,80159,s,s,-3.4,238,188,183,199,234,261,258,285,324,392,500,636,687,723,709,740,121,116,108,104,115,120,103,117,144,145,158,193,208,194,223,209,3.2,2.8,9,12,6,8.2,9.7,13,14,13,7.6,8.2,6.7,8.2,6.1,7.6,28,26,26,30,24,22,18,19,29,23,24,29,26,18,31,22
