proj_name,cluster_tr2000_name,ward2012,total_subsidized_units
"The Dunbar","Edgewood, Bloomingdale, Truxton Circle, Eckington","Ward 5",0
"Barry Homes","Edgewood, Bloomingdale, Truxton Circle, Eckington","Ward 5",0
"Shalom House","Edgewood, Bloomingdale, Truxton Circle, Eckington","Ward 5",94
"Anchor Housing","Brookland, Brentwood, Langdon","Ward 5",9
"Brookland Park Apts","Edgewood, Bloomingdale, Truxton Circle, Eckington","Ward 5",79
"Marigold Place","Brookland, Brentwood, Langdon","Ward 5",7
"North Capitol at Plymouth (N. Capitol Plymouth Sr. Apts.)","Lamond Riggs, Queens Chapel, Fort Totten, Pleasant Hill","Ward 5",68
"Montana Terrace","Brookland, Brentwood, Langdon","Ward 5",65
"Ivy City Apts","Ivy City, Arboretum, Trinidad, Carver Langston","Ward 5",60
"CHHI House (Otis House)","Brookland, Brentwood, Langdon","Ward 5",6
"Brookland Manor (Brentwood Village Apts)","Brookland, Brentwood, Langdon","Ward 5",535
"Bates Street Townhomes Cooperative","Edgewood, Bloomingdale, Truxton Circle, Eckington","Ward 5",5
"Edgewood Gardens Phase II (The Parke)","Edgewood, Bloomingdale, Truxton Circle, Eckington","Ward 5",42
"God Is In Control at 1256 Cooperative","Ivy City, Arboretum, Trinidad, Carver Langston","Ward 5",4
"Edgewood Terrace IV (The Vista)","Edgewood, Bloomingdale, Truxton Circle, Eckington","Ward 5",382
"Hedin House","Woodridge, Fort Lincoln, Gateway","Ward 5",35
"Community Family Life Services, Inc. (Milestone)","Lamond Riggs, Queens Chapel, Fort Totten, Pleasant Hill","Ward 5",35
"Washington Overlook","Woodridge, Fort Lincoln, Gateway","Ward 5",33
"Carver Terrace Apts","Ivy City, Arboretum, Trinidad, Carver Langston","Ward 5",312
"Langston Terrace & Addition","Ivy City, Arboretum, Trinidad, Carver Langston","Ward 5",308
"Fort Lincoln Senior Village III","Woodridge, Fort Lincoln, Gateway","Ward 5",304
"Rhode Island Metro Station","Brookland, Brentwood, Langdon","Ward 5",270
"Arboretum Place (Resub)","Ivy City, Arboretum, Trinidad, Carver Langston","Ward 5",257
"Edgewood Terrace III (The View)","Edgewood, Bloomingdale, Truxton Circle, Eckington","Ward 5",200
"Lincoln Road","Edgewood, Bloomingdale, Truxton Circle, Eckington","Ward 5",20
"Riley Cheeks House","Brookland, Brentwood, Langdon","Ward 5",20
"Fort Lincoln Senior Village I","Woodridge, Fort Lincoln, Gateway","Ward 5",187
"St. Martin's Apts","Edgewood, Bloomingdale, Truxton Circle, Eckington","Ward 5",178
"Fort Lincoln Senior Village II","Woodridge, Fort Lincoln, Gateway","Ward 5",176
"Northwest Coop No 15","Edgewood, Bloomingdale, Truxton Circle, Eckington","Ward 5",162
"Hyacinth's Place","Ivy City, Arboretum, Trinidad, Carver Langston","Ward 5",15
"Delta Towers","Ivy City, Arboretum, Trinidad, Carver Langston","Ward 5",149
"Edgewood Terrace I","Edgewood, Bloomingdale, Truxton Circle, Eckington","Ward 5",140
"Wesley House Apts (Union Wesley)","Woodridge, Fort Lincoln, Gateway","Ward 5",127
"Fort Lincoln","Woodridge, Fort Lincoln, Gateway","Ward 5",120
"1836 Central Place NE","Ivy City, Arboretum, Trinidad, Carver Langston","Ward 5",12
"DMH - Social Services Properties","Edgewood, Bloomingdale, Truxton Circle, Eckington","Ward 5",11
"Franklin Commons","Edgewood, Bloomingdale, Truxton Circle, Eckington","Ward 5",100
"The Green Valley Apts","Brookland, Brentwood, Langdon","Ward 5",100
"Waterside Mall","Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point","Ward 6",0
"Senate Square","NoMa, Union Station, Stanton Park, Kingman Park","Ward 6",0
"Golden Rule Center","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Ward 6",0
"1314 K St SE","Capitol Hill, Lincoln Park","Ward 6",0
"Townhomes On Capitol Hill","Capitol Hill, Lincoln Park","Ward 6",0
"Capitol Towers Elderly","NoMa, Union Station, Stanton Park, Kingman Park","Ward 6",0
"Lincoln Westmoreland II","Shaw, Logan Circle","Ward 6",0
"1st And M","NoMa, Union Station, Stanton Park, Kingman Park","Ward 6",0
"Temple Courts","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street","Ward 6",0
"Washington Apts","Shaw, Logan Circle","Ward 6",0
"Benning Courts","NoMa, Union Station, Stanton Park, Kingman Park","Ward 6",97
"Azeeze Bates","NoMa, Union Station, Stanton Park, Kingman Park","Ward 6",91
"Foster House","Shaw, Logan Circle","Ward 6",74
"Capitol Park Plaza & Twins","Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point","Ward 6",648
"Carroll Apts","Near Southeast, Navy Yard","Ward 6",60
"Efforts From Ex-Convicts","Shaw, Logan Circle","Ward 6",6
"Tel Court Cooperative","Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point","Ward 6",56
"Kelsey Gardens","Shaw, Logan Circle","Ward 6",54
"Jeremiah House (So Others Might Eat)","Capitol Hill, Lincoln Park","Ward 6",52
