CLUSTER_TR2000,forecl_ssl_sf_condo_1995,forecl_ssl_sf_condo_1996,forecl_ssl_sf_condo_1997,forecl_ssl_sf_condo_1998,forecl_ssl_sf_condo_1999,forecl_ssl_sf_condo_2000,forecl_ssl_sf_condo_2001,forecl_ssl_sf_condo_2002,forecl_ssl_sf_condo_2003,forecl_ssl_sf_condo_2004,forecl_ssl_sf_condo_2005,forecl_ssl_sf_condo_2006,forecl_ssl_sf_condo_2007,forecl_ssl_sf_condo_2008,forecl_ssl_sf_condo_2009,forecl_ssl_sf_condo_2010,forecl_ssl_sf_condo_2011,forecl_ssl_sf_condo_2012,forecl_ssl_sf_condo_2013,forecl_ssl_1kpcl_sf_condo_1995,forecl_ssl_1kpcl_sf_condo_1996,forecl_ssl_1kpcl_sf_condo_1997,forecl_ssl_1kpcl_sf_condo_1998,forecl_ssl_1kpcl_sf_condo_1999,forecl_ssl_1kpcl_sf_condo_2000,forecl_ssl_1kpcl_sf_condo_2001,forecl_ssl_1kpcl_sf_condo_2002,forecl_ssl_1kpcl_sf_condo_2003,forecl_ssl_1kpcl_sf_condo_2004,forecl_ssl_1kpcl_sf_condo_2005,forecl_ssl_1kpcl_sf_condo_2006,forecl_ssl_1kpcl_sf_condo_2007,forecl_ssl_1kpcl_sf_condo_2008,forecl_ssl_1kpcl_sf_condo_2009,forecl_ssl_1kpcl_sf_condo_2010,forecl_ssl_1kpcl_sf_condo_2011,forecl_ssl_1kpcl_sf_condo_2012,forecl_ssl_1kpcl_sf_condo_2013,trustee_ssl_sf_condo_1995,trustee_ssl_sf_condo_1996,trustee_ssl_sf_condo_1997,trustee_ssl_sf_condo_1998,trustee_ssl_sf_condo_1999,trustee_ssl_sf_condo_2000,trustee_ssl_sf_condo_2001,trustee_ssl_sf_condo_2002,trustee_ssl_sf_condo_2003,trustee_ssl_sf_condo_2004,trustee_ssl_sf_condo_2005,trustee_ssl_sf_condo_2006,trustee_ssl_sf_condo_2007,trustee_ssl_sf_condo_2008,trustee_ssl_sf_condo_2009,trustee_ssl_sf_condo_2010,trustee_ssl_sf_condo_2011,trustee_ssl_sf_condo_2012,trustee_ssl_sf_condo_2013,trustee_ssl_1kpcl_sf_condo_1995,trustee_ssl_1kpcl_sf_condo_1996,trustee_ssl_1kpcl_sf_condo_1997,trustee_ssl_1kpcl_sf_condo_1998,trustee_ssl_1kpcl_sf_condo_1999,trustee_ssl_1kpcl_sf_condo_2000,trustee_ssl_1kpcl_sf_condo_2001,trustee_ssl_1kpcl_sf_condo_2002,trustee_ssl_1kpcl_sf_condo_2003,trustee_ssl_1kpcl_sf_condo_2004,trustee_ssl_1kpcl_sf_condo_2005,trustee_ssl_1kpcl_sf_condo_2006,trustee_ssl_1kpcl_sf_condo_2007,trustee_ssl_1kpcl_sf_condo_2008,trustee_ssl_1kpcl_sf_condo_2009,trustee_ssl_1kpcl_sf_condo_2010,trustee_ssl_1kpcl_sf_condo_2011,trustee_ssl_1kpcl_sf_condo_2012,trustee_ssl_1kpcl_sf_condo_2013
Cluster 30,12,12,26,27,31,24,25,23,22,16,12,22,27,37,53,42,0,i,i,13,13,28,29,34,26,27,25,23,16,12,22,27,37,53,42,0,i,i,6,7,6,9,7,7,2,9,1,1,2,0,4,16,25,13,4,i,i,6.5,7.6,6.5,9.8,7.6,7.6,2.2,9.6,1,1,2.1,0,4,16,25,13,4,i,i
Cluster 31,52,69,82,93,111,113,83,94,103,69,57,57,108,176,213,160,3,i,i,16,21,25,29,34,35,25,29,31,21,17,17,31,51,61,46,0.9,i,i,13,21,33,40,38,57,41,25,3,10,6,5,26,71,63,74,19,i,i,4,6.4,10,12,12,17,13,7.6,0.9,3,1.8,1.5,7.5,20,18,21,5.5,i,i
Cluster 32,24,21,44,36,43,45,30,54,44,49,41,28,43,77,101,76,1,i,i,11,9.8,21,17,20,21,14,25,21,21,18,12,18,33,43,32,0.4,i,i,6,10,11,12,23,13,10,11,2,3,4,3,6,20,27,26,11,i,i,2.8,4.7,5.2,5.6,11,6.1,4.7,5.1,0.9,1.3,1.7,1.3,2.5,8.5,11,11,4.7,i,i
Cluster 33,32,29,50,57,71,65,64,92,77,65,38,44,71,100,135,137,0,i,i,12,11,19,22,27,25,24,35,29,24,14,15,22,30,40,40,0,i,i,8,9,12,24,24,24,19,20,4,8,9,7,12,67,40,42,12,i,i,3,3.4,4.6,9.1,9.1,9.1,7.2,7.6,1.5,2.9,3.3,2.4,3.8,20,12,12,3.5,i,i
Cluster 34,53,72,80,79,72,90,73,82,74,65,40,42,55,96,124,127,2,i,i,14,19,21,20,19,23,19,21,19,17,10,11,14,24,31,32,0.5,i,i,16,18,28,28,31,28,31,25,2,4,4,1,9,30,37,39,13,i,i,4.1,4.6,7.2,7.2,8,7.2,8,6.4,0.5,1,1,0.3,2.3,7.6,9.3,9.7,3.2,i,i
Cluster 35,29,30,44,35,33,35,41,29,26,35,16,18,25,66,81,69,6,i,i,14,15,21,17,16,17,20,14,13,17,7.7,8.3,12,30,37,32,2.7,i,i,7,2,6,8,3,3,4,8,1,1,2,1,5,13,19,21,6,i,i,3.4,1,2.9,3.9,1.5,1.5,1.9,3.9,0.5,0.5,1,0.5,2.3,6,8.8,9.6,2.7,i,i
Cluster 36,3,4,6,10,5,8,6,12,10,8,16,14,8,27,32,29,0,i,i,8.8,12,18,29,15,24,18,31,26,21,42,26,15,45,53,48,0,i,i,0,2,0,2,2,1,1,4,1,2,2,3,3,3,10,7,3,i,i,0,5.9,0,5.9,5.9,2.9,2.9,10,2.6,5.2,5.2,5.5,5.5,5,16,12,4.9,i,i
Cluster 37,9,7,11,9,18,15,11,25,16,27,11,13,17,30,46,26,1,i,i,15,12,19,15,30,25,19,41,23,33,13,15,17,31,47,25,1,i,i,1,1,4,1,4,3,1,3,3,2,1,1,4,4,18,13,3,i,i,1.7,1.7,6.7,1.7,6.7,5.1,1.7,4.9,4.3,2.5,1.2,1.2,4.1,4.1,18,13,2.9,i,i
Cluster 38,5,4,7,7,15,15,16,28,19,22,9,12,32,28,47,39,0,i,i,8.2,6.5,11,11,24,24,26,42,28,32,13,10,28,24,41,34,0,i,i,0,1,3,4,3,6,6,6,0,3,2,1,2,7,13,8,7,i,i,0,1.6,4.9,6.5,4.9,9.8,9.8,9,0,4.4,3,0.9,1.7,6.1,11,7,6.1,i,i
Cluster 39,66,64,78,105,93,105,87,97,78,66,57,63,78,157,222,194,2,i,i,19,18,22,30,26,30,25,27,22,18,16,16,19,36,51,45,0.5,i,i,12,12,20,35,30,32,33,27,6,8,8,6,14,36,65,75,15,i,i,3.4,3.4,5.7,10,8.5,9.1,9.4,7.6,1.7,2.2,2.2,1.5,3.3,8.3,15,17,3.5,i,i
Non-cluster area,3,5,3,3,2,3,8,3,3,0,2,2,2,6,10,10,0,i,i,5.4,9,5.4,5.4,3.6,5.4,14,5.4,5.4,0,3.6,3.6,3.6,11,18,18,0,i,i,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,i,i,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,1.8,1.8,0,i,i
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
