"Census Tract 73.01, District of Columbia, District of Columbia",2,000+
"Census Tract 106, District of Columbia, District of Columbia",2,000+
"Census Tract 2.01, District of Columbia, District of Columbia",2,000+
"Census Tract 2.02, District of Columbia, District of Columbia",2,000+
"Census Tract 73.01, District of Columbia, District of Columbia",2,000+
"Census Tract 72, District of Columbia, District of Columbia",2,000+
"Census Tract 59, District of Columbia, District of Columbia",2,000+
"Census Tract 58, District of Columbia, District of Columbia",2,000+
"Census Tract 47.02, District of Columbia, District of Columbia",2,000+
"Census Tract 44, District of Columbia, District of Columbia",2,000+
"Census Tract 58, District of Columbia, District of Columbia",2,000+
"Census Tract 33.01, District of Columbia, District of Columbia",2,000+
"Census Tract 4, District of Columbia, District of Columbia",2,000+
"Census Tract 15, District of Columbia, District of Columbia",2,000+
"Census Tract 10.01, District of Columbia, District of Columbia",2,000+
"Census Tract 9.02, District of Columbia, District of Columbia",2,000+
"Census Tract 9.01, District of Columbia, District of Columbia",2,000+
"Census Tract 8.01, District of Columbia, District of Columbia",2,000+
"Census Tract 2.02, District of Columbia, District of Columbia",2,000+
"Census Tract 74.01, District of Columbia, District of Columbia",254
"Census Tract 98.01, District of Columbia, District of Columbia",262
"Census Tract 90, District of Columbia, District of Columbia",284
"Census Tract 90, District of Columbia, District of Columbia",308
"Census Tract 78.04, District of Columbia, District of Columbia",334
"Census Tract 64, District of Columbia, District of Columbia",350
"Census Tract 71, District of Columbia, District of Columbia",361
"Census Tract 74.01, District of Columbia, District of Columbia",365
"Census Tract 96.01, District of Columbia, District of Columbia",387
"Census Tract 64, District of Columbia, District of Columbia",407
"Census Tract 96.01, District of Columbia, District of Columbia",428
"Census Tract 34, District of Columbia, District of Columbia",465
"Census Tract 78.08, District of Columbia, District of Columbia",473
"Census Tract 25.01, District of Columbia, District of Columbia",478
"Census Tract 98.02, District of Columbia, District of Columbia",478
"Census Tract 72, District of Columbia, District of Columbia",481
"Census Tract 87.02, District of Columbia, District of Columbia",483
"Census Tract 99.07, District of Columbia, District of Columbia",503
"Census Tract 91.02, District of Columbia, District of Columbia",503
"Census Tract 77.07, District of Columbia, District of Columbia",513
"Census Tract 49.01, District of Columbia, District of Columbia",515
"Census Tract 79.03, District of Columbia, District of Columbia",526
"Census Tract 73.04, District of Columbia, District of Columbia",532
"Census Tract 99.07, District of Columbia, District of Columbia",547
"Census Tract 74.08, District of Columbia, District of Columbia",553
"Census Tract 99.03, District of Columbia, District of Columbia",559
"Census Tract 75.04, District of Columbia, District of Columbia",577
"Census Tract 99.04, District of Columbia, District of Columbia",588
"Census Tract 77.09, District of Columbia, District of Columbia",596
"Census Tract 48.02, District of Columbia, District of Columbia",596
"Census Tract 78.08, District of Columbia, District of Columbia",605
"Census Tract 96.02, District of Columbia, District of Columbia",618
"Census Tract 74.06, District of Columbia, District of Columbia",622
"Census Tract 99.05, District of Columbia, District of Columbia",623
"Census Tract 32, District of Columbia, District of Columbia",624
"Census Tract 98.02, District of Columbia, District of Columbia",631
"Census Tract 78.06, District of Columbia, District of Columbia",631
"Census Tract 96.02, District of Columbia, District of Columbia",632
"Census Tract 75.03, District of Columbia, District of Columbia",646
"Census Tract 76.01, District of Columbia, District of Columbia",646
"Census Tract 89.04, District of Columbia, District of Columbia",649
"Census Tract 99.02, District of Columbia, District of Columbia",654
"Census Tract 96.03, District of Columbia, District of Columbia",657
"Census Tract 25.01, District of Columbia, District of Columbia",659
"Census Tract 88.04, District of Columbia, District of Columbia",660
"Census Tract 99.03, District of Columbia, District of Columbia",661
"Census Tract 79.01, District of Columbia, District of Columbia",661
"Census Tract 88.03, District of Columbia, District of Columbia",662
"Census Tract 78.07, District of Columbia, District of Columbia",663
"Census Tract 89.03, District of Columbia, District of Columbia",666
"Census Tract 97, District of Columbia, District of Columbia",676
"Census Tract 76.04, District of Columbia, District of Columbia",679
"Census Tract 75.02, District of Columbia, District of Columbia",681
"Census Tract 99.06, District of Columbia, District of Columbia",684
"Census Tract 95.04, District of Columbia, District of Columbia",688
"Census Tract 99.02, District of Columbia, District of Columbia",690
"Census Tract 77.07, District of Columbia, District of Columbia",695
"Census Tract 47.01, District of Columbia, District of Columbia",695
"Census Tract 46, District of Columbia, District of Columbia",698
"Census Tract 98.03, District of Columbia, District of Columbia",700
"Census Tract 78.09, District of Columbia, District of Columbia",709
"Census Tract 22.02, District of Columbia, District of Columbia",710
"Census Tract 88.02, District of Columbia, District of Columbia",716
"Census Tract 98.07, District of Columbia, District of Columbia",716
"Census Tract 29, District of Columbia, District of Columbia",720
"Census Tract 74.09, District of Columbia, District of Columbia",720
"Census Tract 96.04, District of Columbia, District of Columbia",724
"Census Tract 92.04, District of Columbia, District of Columbia",725
"Census Tract 21.01, District of Columbia, District of Columbia",726
"Census Tract 98.04, District of Columbia, District of Columbia",730
"Census Tract 92.04, District of Columbia, District of Columbia",733
"Census Tract 30, District of Columbia, District of Columbia",739
"Census Tract 111, District of Columbia, District of Columbia",740
"Census Tract 98.03, District of Columbia, District of Columbia",743
"Census Tract 73.04, District of Columbia, District of Columbia",745
"Census Tract 77.03, District of Columbia, District of Columbia",748
"Census Tract 78.03, District of Columbia, District of Columbia",751
"Census Tract 94, District of Columbia, District of Columbia",752
"Census Tract 18.04, District of Columbia, District of Columbia",754
"Census Tract 93.02, District of Columbia, District of Columbia",755
"Census Tract 20.02, District of Columbia, District of Columbia",756
"Census Tract 99.04, District of Columbia, District of Columbia",758
"Census Tract 48.01, District of Columbia, District of Columbia",758
"Census Tract 35, District of Columbia, District of Columbia",760
"Census Tract 21.02, District of Columbia, District of Columbia",761
"Census Tract 28.02, District of Columbia, District of Columbia",763
"Census Tract 75.02, District of Columbia, District of Columbia",768
"Census Tract 78.06, District of Columbia, District of Columbia",770
"Census Tract 74.03, District of Columbia, District of Columbia",771
"Census Tract 98.11, District of Columbia, District of Columbia",772
"Census Tract 37, District of Columbia, District of Columbia",774
"Census Tract 92.01, District of Columbia, District of Columbia",774
"Census Tract 68.01, District of Columbia, District of Columbia",775
"Census Tract 78.04, District of Columbia, District of Columbia",777
"Census Tract 92.03, District of Columbia, District of Columbia",777
"Census Tract 94, District of Columbia, District of Columbia",777
"Census Tract 19.01, District of Columbia, District of Columbia",778
"Census Tract 28.01, District of Columbia, District of Columbia",780
"Census Tract 76.05, District of Columbia, District of Columbia",781
"Census Tract 23.01, District of Columbia, District of Columbia",782
"Census Tract 75.04, District of Columbia, District of Columbia",783
"Census Tract 74.04, District of Columbia, District of Columbia",786
"Census Tract 104, District of Columbia, District of Columbia",786
"Census Tract 20.01, District of Columbia, District of Columbia",786
"Census Tract 77.03, District of Columbia, District of Columbia",787
"Census Tract 76.03, District of Columbia, District of Columbia",788
"Census Tract 68.02, District of Columbia, District of Columbia",793
"Census Tract 74.07, District of Columbia, District of Columbia",794
"Census Tract 77.08, District of Columbia, District of Columbia",794
"Census Tract 77.09, District of Columbia, District of Columbia",797
"Census Tract 69, District of Columbia, District of Columbia",800
"Census Tract 89.04, District of Columbia, District of Columbia",800
"Census Tract 96.04, District of Columbia, District of Columbia",801
"Census Tract 32, District of Columbia, District of Columbia",805
"Census Tract 21.02, District of Columbia, District of Columbia",805
"Census Tract 91.02, District of Columbia, District of Columbia",805
"Census Tract 79.03, District of Columbia, District of Columbia",806
"Census Tract 78.07, District of Columbia, District of Columbia",812
"Census Tract 76.01, District of Columbia, District of Columbia",814
"Census Tract 88.03, District of Columbia, District of Columbia",816
"Census Tract 16, District of Columbia, District of Columbia",823
"Census Tract 74.04, District of Columbia, District of Columbia",828
"Census Tract 36, District of Columbia, District of Columbia",829
"Census Tract 88.04, District of Columbia, District of Columbia",830
"Census Tract 25.02, District of Columbia, District of Columbia",832
"Census Tract 71, District of Columbia, District of Columbia",832
"Census Tract 24, District of Columbia, District of Columbia",835
"Census Tract 18.03, District of Columbia, District of Columbia",835
"Census Tract 109, District of Columbia, District of Columbia",836
"Census Tract 98.07, District of Columbia, District of Columbia",837
"Census Tract 35, District of Columbia, District of Columbia",838
"Census Tract 98.10, District of Columbia, District of Columbia",838
"Census Tract 74.08, District of Columbia, District of Columbia",839
"Census Tract 14.02, District of Columbia, District of Columbia",844
"Census Tract 88.02, District of Columbia, District of Columbia",848
"Census Tract 77.08, District of Columbia, District of Columbia",852
"Census Tract 87.02, District of Columbia, District of Columbia",854
"Census Tract 99.06, District of Columbia, District of Columbia",857
"Census Tract 21.01, District of Columbia, District of Columbia",864
"Census Tract 95.08, District of Columbia, District of Columbia",864
